trade_date,high,low,close,pct_chg
20230317,4004.22,3945.25,3958.82,0.5
20230316,3981.32,3936.48,3939.15,-1.2
20230315,4018.75,3986.9,3986.9,0.06
20230314,4001.94,3946.94,3984.7,-0.6
20230313,4008.69,3962.64,4008.69,1.05
20230310,4004.36,3966.43,3967.14,-1.31
20230309,4043.85,4000.89,4019.85,-0.35
20230308,4037.29,4011.52,4034.11,-0.36
20230307,4124.96,4046.57,4048.85,-1.46
20230306,4132.84,4088.45,4109.01,-0.52
20230303,4135.21,4100.38,4130.55,0.31
20230302,4137.25,4113.83,4117.74,-0.22
20230301,4135.48,4061.22,4126.94,1.41
20230228,4074.26,4026.45,4069.46,0.63
20230227,4067.03,4034.52,4043.84,-0.42
20230224,4102.61,4048.24,4061.05,-1.04
20230223,4132.39,4088.21,4103.65,-0.08
20230222,4134.88,4101.86,4106.95,-0.9
20230221,4151.8,4116.27,4144.35,0.26
20230220,4134.86,4035.48,4133.49,2.45
20230217,4104.64,4032.93,4034.51,-1.44
20230216,4167.9,4068.86,4093.49,-0.73
20230215,4153.72,4115.97,4123.69,-0.52
20230214,4152.05,4125.26,4145.29,0.04
20230213,4146.45,4092.27,4143.57,0.91
20230210,4125.29,4092.35,4106.31,-0.59
20230209,4130.86,4064.75,4130.86,1.34
20230208,4111.47,4072.65,4076.14,-0.44
20230207,4107.34,4077.96,4094.23,0.18
20230206,4105.94,4065.22,4086.88,-1.32
20230203,4162.03,4103.17,4141.63,-0.95
20230202,4207.41,4170.56,4181.15,-0.35
20230201,4195.93,4137.77,4195.93,0.94
20230131,4212.73,4153.05,4156.86,-1.06
20230130,4268.15,4197.86,4201.35,0.47
20230120,4189.83,4161.67,4181.53,0.61
20230119,4156.01,4105.98,4156.01,0.62
20230118,4151.46,4125.77,4130.31,-0.17
20230117,4148.58,4118.16,4137.24,-0.02
20230116,4177.1,4076.64,4137.96,1.56
20230113,4074.38,4027.89,4074.38,1.41
20230112,4030.29,4003.51,4017.87,0.2
20230111,4043.4,4008.02,4010.03,-0.19
20230110,4030.46,4002.23,4017.47,0.11
20230109,4023.09,3990.71,4013.12,0.81
20230106,4000.41,3966.47,3980.89,0.31
